#Delay (ns)	3-1-2	3-1	3-2
-22.546043	0.00000	0.07552	0.03902
-22.465088	0.00000	0.03433	0.08332
-22.384133	0.00000	0.07496	0.03913
-22.303177	0.00000	0.03355	0.08522
-22.222222	0.00000	0.07381	0.03987
-22.141267	0.00000	0.03494	0.08639
-22.060312	0.00000	0.07332	0.03799
-21.979356	0.00000	0.03357	0.08726
-21.898401	0.00000	0.07356	0.03716
-21.817446	0.00000	0.03555	0.09032
-21.736491	0.00000	0.07335	0.03635
-21.655535	0.00000	0.03363	0.08650
-21.574580	0.00000	0.07271	0.03747
-21.493625	0.00000	0.03497	0.08974
-21.412670	0.00000	0.07515	0.04039
-21.331714	0.00000	0.03714	0.09376
-21.250759	0.00000	0.07737	0.04473
-21.169804	0.00000	0.03860	0.10420
-21.088848	0.00000	0.08124	0.04967
-21.007893	0.00000	0.03866	0.11690
-20.926938	0.00000	0.09139	0.05623
-20.845983	0.00000	0.04200	0.13068
-20.765027	0.00000	0.10228	0.05955
-20.684072	0.00000	0.04896	0.12834
-20.603117	0.00000	0.10575	0.05602
-20.522162	0.00000	0.05087	0.11308
-20.441206	0.00000	0.10456	0.04908
-20.360251	0.00000	0.04772	0.09735
-20.279296	0.00000	0.09962	0.04416
-20.198340	0.00000	0.04331	0.08743
-20.117385	0.00000	0.09141	0.04100
-20.036430	0.00000	0.04132	0.08501
-19.955475	0.00000	0.08633	0.04035
-19.874519	0.00000	0.03783	0.08303
-19.793564	0.00000	0.08181	0.03880
-19.712609	0.00000	0.03461	0.08363
-19.631654	0.00000	0.08102	0.04026
-19.550698	0.00000	0.03361	0.08233
-19.469743	0.00000	0.07995	0.03963
-19.388788	0.00000	0.03393	0.08294
-19.307832	0.00000	0.07765	0.03953
-19.226877	0.00000	0.03309	0.08209
-19.145922	0.00000	0.07610	0.03987
-19.064967	0.00000	0.03355	0.08443
-18.984011	0.00000	0.07564	0.03953
-18.903056	0.00000	0.03366	0.08223
-18.822101	0.00000	0.07660	0.03892
-18.741146	0.00000	0.03421	0.08493
-18.660190	0.00000	0.07190	0.04002
-18.579235	0.00000	0.03325	0.08531
-18.498280	0.00000	0.07213	0.03966
-18.417324	0.00000	0.03422	0.08531
-18.336369	0.00000	0.07201	0.03991
-18.255414	0.00000	0.03409	0.08318
-18.174459	0.00000	0.07324	0.03930
-18.093503	0.00000	0.03397	0.08454
-18.012548	0.00000	0.07156	0.03789
-17.931593	0.00000	0.03320	0.08430
-17.850638	4.12550E-7	0.07312	0.03764
-17.769682	1.86313E-7	0.03464	0.08427
-17.688727	3.72625E-7	0.07453	0.03698
-17.607772	2.32891E-7	0.03418	0.08452
-17.526816	3.92587E-7	0.07168	0.03808
-17.445861	1.99621E-7	0.03491	0.08850
-17.364906	4.52474E-7	0.07216	0.03664
-17.283951	2.26237E-7	0.03413	0.08445
-17.202995	5.05706E-7	0.07359	0.03774
-17.122040	1.46389E-7	0.03384	0.08491
-17.041085	4.12550E-7	0.07372	0.03778
-16.960130	1.39735E-7	0.03407	0.08628
-16.879174	4.52474E-7	0.07149	0.03999
-16.798219	2.19583E-7	0.03410	0.08579
-16.717264	3.92587E-7	0.07390	0.03840
-16.636308	2.06275E-7	0.03424	0.08501
-16.555353	4.65782E-7	0.07394	0.03804
-16.474398	1.33080E-7	0.03370	0.08385
-16.393443	3.85933E-7	0.07259	0.03935
