#Delay (Seco0ds) - *0.001lot 0	g(2) - *0.001lot 0
24.2461	49.681
24.3271	7.47016
24.408	46.0993
24.489	8.51928
24.5699	38.1727
24.6509	7.85082
24.7318	53.2
24.8128	6.91618
24.8937	55.6732
24.9747	9.23899
25.0557	45.7162
